start_lat,start_lon,end_lat,end_lon,time_slot,hour,weekday,graphhopper_seconds,google_maps_seconds,distance_meters
24.81971339922894,120.71250537761134,24.63751465918456,120.81160536907441,周一早峰,8,0,,,22597.09974845888
24.81971339922894,120.71250537761134,24.63751465918456,120.81160536907441,周一晚峰,18,0,,,22597.09974845888
24.81971339922894,120.71250537761134,24.63751465918456,120.81160536907441,周一下午,14,0,,,22597.09974845888
24.813942679845788,120.93225096797005,24.777502931836914,120.9500889664334,周一早峰,8,0,974.318,1461.0,10208.481
24.813942679845788,120.93225096797005,24.777502931836914,120.9500889664334,周一晚峰,18,0,974.318,1382.0,10208.481
24.813942679845788,120.93225096797005,24.777502931836914,120.9500889664334,周一下午,14,0,974.318,1425.0,10208.481
24.813942679845788,120.93225096797005,24.777502931836914,120.9500889664334,周六,10,5,974.318,1479.0,10208.481
24.823647121416403,120.99090295386806,24.839217956770486,120.93782449493665,周一早峰,8,0,478.975,873.0,5995.943
24.823647121416403,120.99090295386806,24.839217956770486,120.93782449493665,周一晚峰,18,0,478.975,859.0,5995.943
24.823647121416403,120.99090295386806,24.839217956770486,120.93782449493665,周一下午,14,0,478.975,827.0,5995.943
24.823647121416403,120.99090295386806,24.839217956770486,120.93782449493665,周六,10,5,478.975,852.0,5995.943
24.792192181968527,120.93268174974943,24.77186379748036,120.9754819759293,周一早峰,8,0,574.603,1000.0,7413.773
24.792192181968527,120.93268174974943,24.77186379748036,120.9754819759293,周一晚峰,18,0,574.603,932.0,7413.773
24.792192181968527,120.93268174974943,24.77186379748036,120.9754819759293,周一下午,14,0,574.603,917.0,7413.773
24.792192181968527,120.93268174974943,24.77186379748036,120.9754819759293,周六,10,5,574.603,924.0,7413.773
24.752653596968386,120.9478953885618,24.814988443777953,120.97904473325428,周一早峰,8,0,687.468,1556.0,9976.587
24.752653596968386,120.9478953885618,24.814988443777953,120.97904473325428,周一晚峰,18,0,687.468,1329.0,9976.587
24.752653596968386,120.9478953885618,24.814988443777953,120.97904473325428,周一下午,14,0,687.468,1161.0,9976.587
24.752653596968386,120.9478953885618,24.814988443777953,120.97904473325428,周六,10,5,687.468,1152.0,9976.587
24.77204406220407,120.98303391154883,24.830943045667784,120.93058488837103,周一早峰,8,0,1125.69,1885.0,13576.071
24.77204406220407,120.98303391154883,24.830943045667784,120.93058488837103,周一晚峰,18,0,1125.69,1903.0,13576.071
24.77204406220407,120.98303391154883,24.830943045667784,120.93058488837103,周一下午,14,0,1125.69,1666.0,13576.071
24.77204406220407,120.98303391154883,24.830943045667784,120.93058488837103,周六,10,5,1125.69,1757.0,13576.071
24.83058192518328,120.99283254554894,24.7840250516518,120.94399315498306,周一早峰,8,0,712.738,1504.0,8240.505
24.83058192518328,120.99283254554894,24.7840250516518,120.94399315498306,周一晚峰,18,0,712.738,1487.0,8240.505
24.83058192518328,120.99283254554894,24.7840250516518,120.94399315498306,周一下午,14,0,712.738,1358.0,8240.505
24.83058192518328,120.99283254554894,24.7840250516518,120.94399315498306,周六,10,5,712.738,1470.0,8240.505
24.84572130722068,120.96029350906014,24.759274584338016,120.93870447391502,周一早峰,8,0,1128.656,1920.0,15051.713
24.84572130722068,120.96029350906014,24.759274584338016,120.93870447391502,周一晚峰,18,0,1128.656,1825.0,15051.713
24.84572130722068,120.96029350906014,24.759274584338016,120.93870447391502,周一下午,14,0,1128.656,1775.0,15051.713
24.84572130722068,120.96029350906014,24.759274584338016,120.93870447391502,周六,10,5,1128.656,1925.0,15051.713
24.83474943663475,120.98433534282302,24.83071282732744,120.99567586080244,周一早峰,8,0,264.329,313.0,2104.314
